,Identifier,Epoch,Tile,Subtile,Version,SignalURL,RMSURL
20,VLASS1.1.T03t35.J230023-283000,VLASS1.1,T03t35,J230023-283000,v1,https://archive-new.nrao.edu/vlass/quicklook/VLASS1.1/T03t35/VLASS1.1.ql.T03t35.J230023-283000.10.2048.v1/VLASS1.1.ql.T03t35.J230023-283000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://archive-new.nrao.edu/vlass/quicklook/VLASS1.1/T03t35/VLASS1.1.ql.T03t35.J230023-283000.10.2048.v1/VLASS1.1.ql.T03t35.J230023-283000.10.2048.v1.I.iter1.image.pbcor.tt0.rms.subim.fits
21,VLASS1.1.T04t14.J085951-253000,VLASS1.1,T04t14,J085951-253000,v1,https://archive-new.nrao.edu/vlass/quicklook/VLASS1.1/T04t14/VLASS1.1.ql.T04t14.J085951-253000.10.2048.v1/VLASS1.1.ql.T04t14.J085951-253000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://archive-new.nrao.edu/vlass/quicklook/VLASS1.1/T04t14/VLASS1.1.ql.T04t14.J085951-253000.10.2048.v1/VLASS1.1.ql.T04t14.J085951-253000.10.2048.v1.I.iter1.image.pbcor.tt0.rms.subim.fits
22,VLASS1.1.T04t14.J090416-253000,VLASS1.1,T04t14,J090416-253000,v1,https://archive-new.nrao.edu/vlass/quicklook/VLASS1.1/T04t14/VLASS1.1.ql.T04t14.J090416-253000.10.2048.v1/VLASS1.1.ql.T04t14.J090416-253000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://archive-new.nrao.edu/vlass/quicklook/VLASS1.1/T04t14/VLASS1.1.ql.T04t14.J090416-253000.10.2048.v1/VLASS1.1.ql.T04t14.J090416-253000.10.2048.v1.I.iter1.image.pbcor.tt0.rms.subim.fits
23,VLASS1.1.T04t35.J230012-273000,VLASS1.1,T04t35,J230012-273000,v1,https://archive-new.nrao.edu/vlass/quicklook/VLASS1.1/T04t35/VLASS1.1.ql.T04t35.J230012-273000.10.2048.v1/VLASS1.1.ql.T04t35.J230012-273000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://archive-new.nrao.edu/vlass/quicklook/VLASS1.1/T04t35/VLASS1.1.ql.T04t35.J230012-273000.10.2048.v1/VLASS1.1.ql.T04t35.J230012-273000.10.2048.v1.I.iter1.image.pbcor.tt0.rms.subim.fits
24,VLASS1.1.T05t02.J011625-213000,VLASS1.1,T05t02,J011625-213000,v1,https://archive-new.nrao.edu/vlass/quicklook/VLASS1.1/T05t02/VLASS1.1.ql.T05t02.J011625-213000.10.2048.v1/VLASS1.1.ql.T05t02.J011625-213000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://archive-new.nrao.edu/vlass/quicklook/VLASS1.1/T05t02/VLASS1.1.ql.T05t02.J011625-213000.10.2048.v1/VLASS1.1.ql.T05t02.J011625-213000.10.2048.v1.I.iter1.image.pbcor.tt0.rms.subim.fits
25,VLASS1.1.T05t08.J045512-233000,VLASS1.1,T05t08,J045512-233000,v1,https://archive-new.nrao.edu/vlass/quicklook/VLASS1.1/T05t08/VLASS1.1.ql.T05t08.J045512-233000.10.2048.v1/VLASS1.1.ql.T05t08.J045512-233000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://archive-new.nrao.edu/vlass/quicklook/VLASS1.1/T05t08/VLASS1.1.ql.T05t08.J045512-233000.10.2048.v1/VLASS1.1.ql.T05t08.J045512-233000.10.2048.v1.I.iter1.image.pbcor.tt0.rms.subim.fits
26,VLASS1.1.T05t08.J045933-233000,VLASS1.1,T05t08,J045933-233000,v1,https://archive-new.nrao.edu/vlass/quicklook/VLASS1.1/T05t08/VLASS1.1.ql.T05t08.J045933-233000.10.2048.v1/VLASS1.1.ql.T05t08.J045933-233000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://archive-new.nrao.edu/vlass/quicklook/VLASS1.1/T05t08/VLASS1.1.ql.T05t08.J045933-233000.10.2048.v1/VLASS1.1.ql.T05t08.J045933-233000.10.2048.v1.I.iter1.image.pbcor.tt0.rms.subim.fits
27,VLASS1.1.T06t24.J152204-163000,VLASS1.1,T06t24,J152204-163000,v1,https://archive-new.nrao.edu/vlass/quicklook/VLASS1.1/T06t24/VLASS1.1.ql.T06t24.J152204-163000.10.2048.v1/VLASS1.1.ql.T06t24.J152204-163000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://archive-new.nrao.edu/vlass/quicklook/VLASS1.1/T06t24/VLASS1.1.ql.T06t24.J152204-163000.10.2048.v1/VLASS1.1.ql.T06t24.J152204-163000.10.2048.v1.I.iter1.image.pbcor.tt0.rms.subim.fits
28,VLASS1.1.T06t24.J152614-163000,VLASS1.1,T06t24,J152614-163000,v1,https://archive-new.nrao.edu/vlass/quicklook/VLASS1.1/T06t24/VLASS1.1.ql.T06t24.J152614-163000.10.2048.v1/VLASS1.1.ql.T06t24.J152614-163000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://archive-new.nrao.edu/vlass/quicklook/VLASS1.1/T06t24/VLASS1.1.ql.T06t24.J152614-163000.10.2048.v1/VLASS1.1.ql.T06t24.J152614-163000.10.2048.v1.I.iter1.image.pbcor.tt0.rms.subim.fits
29,VLASS1.1.T06t24.J153024-163000,VLASS1.1,T06t24,J153024-163000,v1,https://archive-new.nrao.edu/vlass/quicklook/VLASS1.1/T06t24/VLASS1.1.ql.T06t24.J153024-163000.10.2048.v1/VLASS1.1.ql.T06t24.J153024-163000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://archive-new.nrao.edu/vlass/quicklook/VLASS1.1/T06t24/VLASS1.1.ql.T06t24.J153024-163000.10.2048.v1/VLASS1.1.ql.T06t24.J153024-163000.10.2048.v1.I.iter1.image.pbcor.tt0.rms.subim.fits
